Gtk.STYLE_CLASS_CSD,<class 'str'>,csd
Gtk.STYLE_CLASS_CURSOR_HANDLE,<class 'str'>,cursor-handle
Gtk.STYLE_CLASS_DEFAULT,<class 'str'>,default
Gtk.STYLE_CLASS_DESTRUCTIVE_ACTION,<class 'str'>,destructive-action
Gtk.STYLE_CLASS_DIM_LABEL,<class 'str'>,dim-label
Gtk.STYLE_CLASS_DND,<class 'str'>,dnd
Gtk.STYLE_CLASS_DOCK,<class 'str'>,dock
Gtk.STYLE_CLASS_ENTRY,<class 'str'>,entry
Gtk.STYLE_CLASS_ERROR,<class 'str'>,error
Gtk.STYLE_CLASS_EXPANDER,<class 'str'>,expander
Gtk.STYLE_CLASS_FLAT,<class 'str'>,flat
Gtk.STYLE_CLASS_FRAME,<class 'str'>,frame
Gtk.STYLE_CLASS_GRIP,<class 'str'>,grip
Gtk.STYLE_CLASS_HEADER,<class 'str'>,header
Gtk.STYLE_CLASS_HIGHLIGHT,<class 'str'>,highlight
Gtk.STYLE_CLASS_HORIZONTAL,<class 'str'>,horizontal
Gtk.STYLE_CLASS_IMAGE,<class 'str'>,image
Gtk.STYLE_CLASS_INFO,<class 'str'>,info
Gtk.STYLE_CLASS_INLINE_TOOLBAR,<class 'str'>,inline-toolbar
Gtk.STYLE_CLASS_INSERTION_CURSOR,<class 'str'>,insertion-cursor
Gtk.STYLE_CLASS_LABEL,<class 'str'>,label
Gtk.STYLE_CLASS_LEFT,<class 'str'>,left
Gtk.STYLE_CLASS_LEVEL_BAR,<class 'str'>,level-bar
Gtk.STYLE_CLASS_LINKED,<class 'str'>,linked
Gtk.STYLE_CLASS_LIST,<class 'str'>,list
Gtk.STYLE_CLASS_LIST_ROW,<class 'str'>,list-row
Gtk.STYLE_CLASS_MARK,<class 'str'>,mark
Gtk.STYLE_CLASS_MENU,<class 'str'>,menu
Gtk.STYLE_CLASS_MENUBAR,<class 'str'>,menubar
Gtk.STYLE_CLASS_MENUITEM,<class 'str'>,menuitem
Gtk.STYLE_CLASS_MESSAGE_DIALOG,<class 'str'>,message-dialog
Gtk.STYLE_CLASS_MONOSPACE,<class 'str'>,monospace
Gtk.STYLE_CLASS_NEEDS_ATTENTION,<class 'str'>,needs-attention
Gtk.STYLE_CLASS_NOTEBOOK,<class 'str'>,notebook
Gtk.STYLE_CLASS_OSD,<class 'str'>,osd
Gtk.STYLE_CLASS_OVERSHOOT,<class 'str'>,overshoot
Gtk.STYLE_CLASS_PANE_SEPARATOR,<class 'str'>,pane-separator
Gtk.STYLE_CLASS_PAPER,<class 'str'>,paper
Gtk.STYLE_CLASS_POPOVER,<class 'str'>,popover
Gtk.STYLE_CLASS_POPUP,<class 'str'>,popup
Gtk.STYLE_CLASS_PRIMARY_TOOLBAR,<class 'str'>,primary-toolbar
Gtk.STYLE_CLASS_PROGRESSBAR,<class 'str'>,progressbar
Gtk.STYLE_CLASS_PULSE,<class 'str'>,pulse
Gtk.STYLE_CLASS_QUESTION,<class 'str'>,question
Gtk.STYLE_CLASS_RADIO,<class 'str'>,radio
Gtk.STYLE_CLASS_RAISED,<class 'str'>,raised
Gtk.STYLE_CLASS_READ_ONLY,<class 'str'>,read-only
Gtk.STYLE_CLASS_RIGHT,<class 'str'>,right
Gtk.STYLE_CLASS_RUBBERBAND,<class 'str'>,rubberband
